-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 01/01/2025 in LST
Location: latitude  34.3543   longitude 47.073 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1585.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WSC                   MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: 35-m broadleaf-evergreen trees (70% coverage) (vegtype_1) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PS,WSC
2024,1,1,2.3374,84.45,0.65
2024,1,2,2.6724,84.39,0.85
2024,1,3,2.8886,84.12,1.24
2024,1,4,3.4332,84.3,1.07
2024,1,5,2.8339,84.25,1.42
2024,1,6,2.9933,84.38,2.09
2024,1,7,3.7474,84.67,1.24
2024,1,8,3.1685,84.66,1.24
2024,1,9,3.2213,84.5,1.62
2024,1,10,1.745,84.11,2.87
2024,1,11,1.5641,83.94,2.66
2024,1,12,2.0162,83.67,2.43
2024,1,13,1.3025,83.78,3.78
2024,1,14,1.806,83.9,3.27
2024,1,15,2.599,84.3,1.41
2024,1,16,3.9134,84.46,1.19
2024,1,17,3.6962,84.29,1.02
2024,1,18,3.6955,84.28,1.11
2024,1,19,3.8448,84.46,1.18
2024,1,20,3.617,84.52,1.24
2024,1,21,3.8258,84.58,1.06
2024,1,22,3.4133,84.47,1.64
2024,1,23,2.3609,84.19,2.7
2024,1,24,1.9829,83.94,3.11
2024,1,25,1.9963,84.12,1.98
2024,1,26,2.6582,83.85,1.07
2024,1,27,1.4206,83.6,2.28
2024,1,28,2.2798,84.05,1.71
2024,1,29,2.9338,84.22,1.09
2024,1,30,3.8556,84.28,1.35
2024,1,31,2.8843,84.26,1.45
2024,2,1,2.3496,83.74,1.45
2024,2,2,1.1866,83.59,2.18
2024,2,3,1.9075,84.22,1.19
2024,2,4,2.0203,84.35,1.3
2024,2,5,2.117,84.21,2.87
2024,2,6,1.625,84.21,2.71
2024,2,7,2.9856,84.59,1.43
2024,2,8,4.0546,84.6,1.47
2024,2,9,4.0102,84.44,1.15
2024,2,10,4.0334,84.44,0.93
2024,2,11,4.4237,84.51,1.46
2024,2,12,4.6176,84.63,1.05
2024,2,13,4.164,84.47,1.55
2024,2,14,2.3719,84.19,3.09
2024,2,15,0.6924,84.02,3.42
2024,2,16,0.7318,83.93,2.1
2024,2,17,1.9829,84.03,2.17
2024,2,18,2.3405,84.1,1.67
2024,2,19,2.6021,84.02,0.98
2024,2,20,2.6371,84.13,1.05
2024,2,21,3.2194,84.37,1.15
2024,2,22,4.6819,84.44,1.24
2024,2,23,4.2758,84.5,1.07
2024,2,24,2.3664,84.28,0.82
2024,2,25,3.499,83.87,3.37
2024,2,26,3.858,83.79,4.29
2024,2,27,2.7478,83.87,1.85
2024,2,28,2.4907,83.93,2.5
2024,2,29,4.8727,84.34,2.63
2024,3,1,5.7209,84.43,1.09
2024,3,2,5.555,84.18,1.29
2024,3,3,5.3405,83.84,1.57
2024,3,4,2.8658,83.67,1.13
2024,3,5,3.1111,83.96,1.05
2024,3,6,5.6498,84.14,1.18
2024,3,7,3.5222,83.88,2.78
2024,3,8,4.4813,83.94,1.62
2024,3,9,5.3117,83.99,1.25
2024,3,10,3.3386,84.0,2.89
2024,3,11,4.1938,84.18,1.87
2024,3,12,6.2482,84.57,1.03
2024,3,13,6.4186,84.47,1.26
2024,3,14,5.5798,84.35,2.18
2024,3,15,4.9404,84.12,2.85
2024,3,16,3.557,84.21,1.96
2024,3,17,6.1651,84.38,1.14
2024,3,18,1.313,83.98,3.01
2024,3,19,1.6877,83.48,2.73
2024,3,20,3.1234,84.0,2.91
2024,3,21,5.033,84.25,1.33
2024,3,22,4.9154,83.79,1.83
2024,3,23,4.0762,83.87,2.22
2024,3,24,3.5609,83.53,3.06
2024,3,25,1.8958,83.4,3.52
2024,3,26,5.6201,84.15,2.91
2024,3,27,3.413,84.35,2.7
2024,3,28,5.7893,84.44,1.76
2024,3,29,7.3771,84.33,1.18
2024,3,30,6.042,84.38,1.1
2024,3,31,7.1177,84.59,1.42
2024,4,1,7.0838,84.42,1.29
2024,4,2,7.1611,84.2,1.63
2024,4,3,6.6598,84.06,1.29
2024,4,4,7.1338,84.27,1.2
2024,4,5,7.3603,84.33,1.19
2024,4,6,5.4955,84.18,1.36
2024,4,7,5.7437,83.85,2.58
2024,4,8,6.2179,84.03,2.22
2024,4,9,6.4514,84.13,2.63
2024,4,10,1.8278,83.82,1.91
2024,4,11,5.3678,83.94,1.15
2024,4,12,4.9927,84.05,2.37
2024,4,13,7.7052,83.85,2.0
2024,4,14,7.7628,83.88,1.15
2024,4,15,6.331,84.0,0.89
2024,4,16,6.4147,84.15,2.27
2024,4,17,7.6226,84.06,1.63
2024,4,18,7.759,84.09,1.26
2024,4,19,7.405,83.98,1.6
2024,4,20,6.9108,84.05,1.45
2024,4,21,4.7208,84.03,1.38
2024,4,22,3.5026,84.2,1.15
2024,4,23,5.1427,84.24,2.76
2024,4,24,7.2098,84.13,3.7
2024,4,25,8.1113,84.12,2.32
2024,4,26,7.8564,84.09,1.19
2024,4,27,7.9942,84.18,1.55
2024,4,28,8.0995,84.39,1.5
2024,4,29,7.0457,84.37,1.37
2024,4,30,3.7502,84.24,2.18
2024,5,1,2.5884,83.9,1.26
2024,5,2,2.5716,83.49,0.85
2024,5,3,1.8274,83.39,2.56
2024,5,4,4.1897,83.74,2.8
2024,5,5,5.4518,83.97,2.15
2024,5,6,2.1446,83.76,2.25
2024,5,7,7.1167,83.9,2.27
2024,5,8,7.3862,84.13,1.82
2024,5,9,7.8914,84.27,1.03
2024,5,10,8.3717,84.37,1.33
2024,5,11,8.2291,84.38,1.51
2024,5,12,6.6173,83.95,3.43
2024,5,13,3.3612,83.68,2.84
2024,5,14,8.0239,83.88,2.03
2024,5,15,8.741,84.15,1.26
2024,5,16,6.5369,84.37,1.1
2024,5,17,8.0498,84.25,2.7
2024,5,18,8.5733,84.18,2.58
2024,5,19,7.8662,84.08,1.76
2024,5,20,6.7418,84.0,1.46
2024,5,21,5.2027,84.07,1.38
2024,5,22,4.5012,83.94,1.47
2024,5,23,7.4642,83.87,1.6
2024,5,24,8.0186,83.97,1.52
2024,5,25,6.4577,83.95,1.9
2024,5,26,8.3858,84.04,1.68
2024,5,27,8.7569,84.19,1.33
2024,5,28,8.7538,84.31,1.93
2024,5,29,8.4929,84.22,1.64
2024,5,30,8.4024,84.21,1.36
2024,5,31,8.3474,84.37,1.66
2024,6,1,8.6606,84.31,1.92
2024,6,2,8.9309,84.17,1.78
2024,6,3,8.7262,84.14,2.37
2024,6,4,8.6422,84.02,2.22
2024,6,5,8.4166,83.94,2.14
2024,6,6,7.8305,83.94,2.04
2024,6,7,7.6502,83.97,1.38
2024,6,8,8.0071,83.85,1.41
2024,6,9,7.3454,83.85,1.73
2024,6,10,5.1878,83.91,2.64
2024,6,11,7.7647,83.88,2.09
2024,6,12,8.447,83.96,1.4
2024,6,13,8.3206,83.9,1.65
2024,6,14,7.9128,83.67,1.9
2024,6,15,8.2584,83.6,1.95
2024,6,16,8.1259,83.87,1.67
2024,6,17,8.1917,84.18,1.92
2024,6,18,7.5691,84.21,1.85
2024,6,19,8.3234,84.06,1.89
2024,6,20,8.5349,84.0,3.01
2024,6,21,7.8641,83.81,1.87
2024,6,22,7.8756,83.67,2.19
2024,6,23,5.3225,83.73,2.37
2024,6,24,6.3432,83.7,2.1
2024,6,25,7.8506,83.48,1.22
2024,6,26,7.8204,83.37,1.99
2024,6,27,8.4043,83.42,1.71
2024,6,28,8.1122,83.34,2.25
2024,6,29,8.5253,83.32,1.92
2024,6,30,8.5037,83.53,1.93
2024,7,1,8.2963,83.48,2.39
2024,7,2,8.2075,83.33,2.24
2024,7,3,8.292,83.4,1.65
